adapter,dataset,split,macro_f1,accuracy,n_samples,n_null,results_file
gemma4-31b-aug,edu,test,0.7825177691372401,0.79,300,0,lora_results/gemma4-31b-aug/generated_predictions.jsonl
qwen3.5-27b-aug,edu,test,0.7733377462241477,0.8066666666666666,300,0,lora_results/qwen3.5-27b-aug/generated_predictions.jsonl
gemma4-31b-orig,edu,test,0.8105,0.8261,300,1,lora_results/gemma4-31b-orig/generated_predictions.jsonl
qwen3.5-27b-orig,edu,test,0.7953,0.8328,300,1,lora_results/qwen3.5-27b-orig/generated_predictions.jsonl
gemma4-31b-cot,edu,test,0.7097999133884236,0.73,300,0,lora_results/gemma4-31b-cot/generated_predictions.jsonl
gemma4-31b-aug-r8,edu,test,0.6940287392245268,0.7433333333333333,300,0,lora_results/gemma4-31b-aug-r8/generated_predictions.jsonl
qwen3.5-27b-cot-r8,edu,test,0.6658405262450385,0.7066666666666667,300,0,lora_results/qwen3.5-27b-cot-r8/generated_predictions.jsonl
qwen3.5-27b-aug-r8,edu,test,0.7419992586227709,0.7866666666666666,300,0,lora_results/qwen3.5-27b-aug-r8/generated_predictions.jsonl
qwen3.5-27b-cot-r8_nl,edu,test,0.6658405262450385,0.7066666666666667,300,0,lora_results/qwen3.5-27b-cot-r8_nl/generated_predictions.jsonl
qwen3.5-27b-cot-r8_zh,edu,test,0.6658405262450385,0.7066666666666667,300,0,lora_results/qwen3.5-27b-cot-r8_zh/generated_predictions.jsonl
gemma4-31b-multilingual-r8,edu,test,0.7296215153387225,0.7633333333333333,300,0,lora_results/gemma4-31b-multilingual-r8/generated_predictions.jsonl
gemma4-31b-multilingual-r8_nl,edu,test,0.7296215153387225,0.7633333333333333,300,0,lora_results/gemma4-31b-multilingual-r8_nl/generated_predictions.jsonl
gemma4-31b-multilingual-r8_zh,edu,test,0.7296215153387225,0.7633333333333333,300,0,lora_results/gemma4-31b-multilingual-r8_zh/generated_predictions.jsonl
qwen3.5-27b-multilingual-r8,edu,test,0.7765721943970978,0.8,300,0,lora_results/qwen3.5-27b-multilingual-r8/generated_predictions.jsonl
qwen3.5-27b-multilingual-r8_nl,edu,test,0.7765721943970978,0.8,300,0,lora_results/qwen3.5-27b-multilingual-r8_nl/generated_predictions.jsonl
qwen3.5-27b-multilingual-r8_zh,edu,test,0.7765721943970978,0.8,300,0,lora_results/qwen3.5-27b-multilingual-r8_zh/generated_predictions.jsonl
gemma4-31b-orig-r8,edu,test,0.7748734057262466,0.79,300,2,lora_results/gemma4-31b-orig-r8/generated_predictions.jsonl
qwen3.5-27b-orig-r8,edu,test,0.7166015809978658,0.76,300,1,lora_results/qwen3.5-27b-orig-r8/generated_predictions.jsonl
qwen3.5-27b-cot,edu,test,0.678878261493195,0.7266666666666667,300,1,lora_results/qwen3.5-27b-cot/generated_predictions.jsonl
gemma4-31b-multilingual_en,edu,test,0.7508382385292401,0.7633333333333333,300,4,lora_results/gemma4-31b-multilingual_en/generated_predictions.jsonl
qwen3.5-27b-multilingual_en,edu,test,0.7813619500817348,0.8,300,2,lora_results/qwen3.5-27b-multilingual_en/generated_predictions.jsonl
